model,year,fipe_mean_brl,fipe_min_brl,fipe_max_brl,n_versions,reference_month,source
KA,2017,38005,38005,38005,1,maio/2026,Parallelum FIPE API v1 (cod 6915)
KA,2018,40337,40337,40337,1,maio/2026,Parallelum FIPE API v1 (cod 6915)
KA,2019,44622,43978,45266,2,maio/2026,Parallelum FIPE API v1 (cod 6915+6914)
KA,2020,48199,48199,48199,1,maio/2026,Parallelum FIPE API v1 (cod 6915)
KA,2021,55335,49625,64282,3,maio/2026,Parallelum FIPE API v1 (cod 6915/8401/8744)
FIESTA,2017,50911,50911,50911,1,maio/2026,Parallelum FIPE API v1 (cod 7659)
FIESTA,2018,56625,56625,56625,1,maio/2026,Parallelum FIPE API v1 (cod 7659)
FIESTA,2019,58041,58041,58041,1,maio/2026,Parallelum FIPE API v1 (cod 7659)
ECOSPORT,2017,58773,58773,58773,1,maio/2026,Parallelum FIPE API v1 (cod 6157 Freestyle 1.6)
ECOSPORT,2018,67721,62480,72962,2,maio/2026,Parallelum FIPE API v1 (cod 8006+8588)
ECOSPORT,2019,70706,66625,74787,2,maio/2026,Parallelum FIPE API v1 (cod 8006+8588)
ECOSPORT,2020,74206,68956,79456,2,maio/2026,Parallelum FIPE API v1 (cod 8006+8588)
ECOSPORT,2021,79586,73979,85193,2,maio/2026,Parallelum FIPE API v1 (cod 8006+8588)
ECOSPORT,2022,n/a,n/a,n/a,0,maio/2026,FIPE - sem oferta no ano (linha descontinuada 2022)
FOCUS,2017,57070,57070,57070,1,maio/2026,Parallelum FIPE API v1 (cod 7284 Fastback SE)
FOCUS,2018,63194,59276,67111,2,maio/2026,Parallelum FIPE API v1 (cod 7284+7285)
FOCUS,2019,61135,61135,61135,1,maio/2026,Parallelum FIPE API v1 (cod 7284)
RANGER,2017,130776,128915,132636,2,maio/2026,Parallelum FIPE API v1 (cod 6528 Tropivan + 10741 Limited 3.2)
RANGER,2018,137997,135952,140042,2,maio/2026,Parallelum FIPE API v1 (cod 6528+10741+8049)
RANGER,2019,148166,145635,150696,2,maio/2026,Parallelum FIPE API v1 (cod 6528+10741)
RANGER,2020,163558,151005,179134,3,maio/2026,Parallelum FIPE API v1 (cod 9080+10741+6528)
RANGER,2021,176280,156033,207016,3,maio/2026,Parallelum FIPE API v1 (cod 9080+10741+6528)
RANGER,2022,164934,159934,173504,3,maio/2026,Parallelum FIPE API v1 (cod 9080+10741+9772)
RANGER,2023,178246,168206,188328,2,maio/2026,Parallelum FIPE API v1 (cod 9080+10741)
