dealer_name,city,uf,address,cep,phone,latitude,longitude,source_url
RECOL,Rio Branco,AC,"RODOVIA AC-040, 1273  TRIANGULO",69901365,,-10.02246,-67.79719,https://www.abradif.com.br/
LAGUNA,Maceio,AL,"AV COMENDADOR GUSTAVO PAIVA, 2241",57031530,,-9.64055,-35.70824,https://www.abradif.com.br/
MOSELLI,Macapa,AP,"ROD DUCA SERRA, S/N   KM 3",68906801,,0.03768,-51.09444,https://www.abradif.com.br/
BURITI BARREIRAS,Barreiras,BA,"AV. BARAO DO RIO BRANCO, 433",47813010,,-12.12770,-45.01479,https://www.abradif.com.br/
INDIANA - SALVADOR,Salvador,BA,"R MARTINIANO DO BONFIM, 518",40280000,,-12.95744,-38.47402,https://www.abradif.com.br/
ATLANTA,Vitoria da Conquista,BA,"AV PRESIDENTE DUTRA, 5000",45035180,,-14.84116,-40.84477,https://www.abradif.com.br/
CRASA SUL,Fortaleza,CE,"AV WASHINGTON SOARES, 7241",60830005,,-3.81755,-38.48055,https://www.abradif.com.br/
BRASAL TAGUATINGA,Braselia,DF,"QUADRA CSG 09 LOTES 7 E 8 PARTE A  , S/N",72035509,,-15.86899,-48.03125,https://www.abradif.com.br/
SLAVIERO SIA,Braselia,DF,"TRECHO SIA TRECHO 1, 100   160",71200010,,-15.80593,-47.95120,https://www.abradif.com.br/
VIAFOR COLATINA,Colatina,ES,"AV.ADALBERTO DE CASTRO GALVAO, 10",29712495,,-19.52359,-40.57866,https://www.abradif.com.br/
NAVESA - ANAPOLIS,Anapolis,GO,"AV BRASIL SUL, 4088",75124820,,-16.36019,-48.96171,https://www.abradif.com.br/
TRIAUTO - CATALAO,Catalao,GO,"R FREDERICO CAMPOS, 1.155",75701410,,-18.16935,-47.94161,https://www.abradif.com.br/
CIAASA.,Goiania,GO,"AV CASTELO BRANCO, 87",74140150,,-16.69059,-49.27327,https://www.abradif.com.br/
NAVESA - AUTOMOVEI,Goiania,GO,"AV PIRES FERNANDES, 656",74070030,,-16.66941,-49.27232,https://www.abradif.com.br/
REGIVEL - ITUMBIAR,Itumbiara,GO,"AV MODESTO DE CARVALHO, 3500",75536100,,-18.40702,-49.25280,https://www.abradif.com.br/
REGIVEL - RIO VERD,Rio Verde,GO,"R NIZO JAIME DE GUSMAO, 125",75900000,,-17.80164,-50.92102,https://www.abradif.com.br/
DUVEL - SAO LUIS -,Sao Lues,MA,"R CAJAZEIRAS, DAS, 158",65015080,,-2.50638,-44.29809,https://www.abradif.com.br/
BH FOR - BELO HORI,Belo Horizonte,MG,"AV CRISTIANO MACHADO, 2101",31170800,,-19.88827,-43.92830,https://www.abradif.com.br/
BRASAUTO - GOV. VA,Governador Valadares,MG,"AV MINAS GERAIS, 4059",35057760,,-18.83667,-41.96063,https://www.abradif.com.br/
ORIGINAL - MATRIZ,Juiz de Fora,MG,"AV DOUTOR DEUSDEDITH SALGADO, 4030",36033000,,-21.81768,-43.37463,https://www.abradif.com.br/
FORBEL MONTES CLAR,Montes Claros,MG,"AVENIDA DEPUTADO PLINIO RIBEIRO, 709",39401474,,-16.71223,-43.84304,https://www.abradif.com.br/
NOVACAR - POCOS DE,Pocos de Caldas,MG,"AV JOAO PINHEIRO, 1225",37701387,,-21.78437,-46.58288,https://www.abradif.com.br/
SANVEL - UBA,Uba,MG,"AV DOS EX-COMBATENTES, 1.300",36500000,,-21.11976,-42.95542,https://www.abradif.com.br/
ORTOVEL - UBERLAND,Uberlandia,MG,"R RUA ARLINDO MASSARO, S/N",38402076,,-18.88873,-48.25550,https://www.abradif.com.br/
VIA SUL - AUTOMOVE,Dourados,MS,"AV MARCELINO PIRES, 5685",79833000,,-22.22201,-54.77186,https://www.abradif.com.br/
DIVALI,Nova Andradina,MS,"AV ANTONIO JOAQUIM DE MOURA ANDRADE, 2984",79750000,,-22.25622,-53.35502,https://www.abradif.com.br/
COCAVEL PARANAIBA,Paranaeba,MS,"AV CRISTOVAM PEREIRA DOS SANTOS, 885",79500000,,-19.69502,-51.17487,https://www.abradif.com.br/
VIA SUL,Cuiaba,MT,"AV. FERNANDO CORREA DA COSTA, 3010",78070200,,-15.61889,-56.06579,https://www.abradif.com.br/
FANCAR - RONDONOPO,Rondonopolis,MT,"AV FERNANDO CORREA DA COSTA, 3.244",78700100,,-16.42394,-54.57650,https://www.abradif.com.br/
VIA SUL,Sinop,MT,"R COLONIZADOR ENIO PIPINO, 2333",78557460,,-11.86713,-55.49655,https://www.abradif.com.br/
FENIX AUTOMOVEIS P,Belem,PA,"AV PEDRO ALVARES CABRAL, 1451",66050400,,-1.43297,-48.49027,https://www.abradif.com.br/
FENIX AUTOMOVEIS -,Maraba,PA,"ROD PA-150, KM 7",68506670,,-5.34963,-49.07917,https://www.abradif.com.br/
VEPEL CAMPINA GRAN,Campina Grande,PB,"AV PREFEITO SEVERINO CABRAL, 330",58104170,,-7.22639,-35.87423,https://www.abradif.com.br/
GRANVIA IMBIRIBEIR,Recife,PE,"AV MARECHAL MASCARENHAS DE MORAIS  , 841",51150000,,-8.08842,-34.90647,https://www.abradif.com.br/
ANTARES - AUTOMOVE,Teresina,PI,"AV JOAO XXIII, 4151",64053010,,-5.07912,-42.76076,https://www.abradif.com.br/
PARANAVEL C MOURAO,Campo Mourao,PR,"AV GUILHERME DE PAULA XAVIER, 1635",87303070,,-24.03577,-52.38009,https://www.abradif.com.br/
FANCAR CASCAVEL,Cascavel,PR,"AVENIDA BRASIL, 1738",85816290,,-24.94873,-53.44372,https://www.abradif.com.br/
BARIGUI M.TOURINHO,Curitiba,PR,"ALAMEDA JULIA DA COSTA, 3119",80730095,,-25.43747,-49.30509,https://www.abradif.com.br/
CENTER XV,Curitiba,PR,"RUA XV DE NOVEMBRO, 2.333",8005000,,-25.42877,-49.26824,https://www.abradif.com.br/
FANCAR GUARAPUAVA,Guarapuava,PR,"RUA JORGE ALVES RIBEIRO, 600",85055040,,-25.36081,-51.46867,https://www.abradif.com.br/
TROPICAL LOMAR,Londrina,PR,"AV BRASILIA, 2769",86025180,,-23.29053,-51.16773,https://www.abradif.com.br/
CENTER - MARINGA,Maringa,PR,"AV COLOMBO, 5220",87030121,,-23.41047,-51.93142,https://www.abradif.com.br/
PARANAVEL - PARANA,Paranavae,PR,"AV DEP.HEITOR ALENCAR FURTADO, 7007",87706000,,-23.06888,-52.42854,https://www.abradif.com.br/
FANCAR - PATO BRAN,Pato Branco,PR,"ROD BR-158 - km. 518,8, 6300",85501570,,-26.21637,-52.68069,https://www.abradif.com.br/
FANCAR - PONTA GRO,Ponta Grossa,PR,"AVENIDA MONTEIRO LOBATO, 600",84015480,,-25.07711,-50.15491,https://www.abradif.com.br/
BRACOM - MACAE - F,Macae,RJ,"EST MACAE GLICERIO, 1700",27946060,,-22.35804,-41.80252,https://www.abradif.com.br/
MEGAFOR B TIJUCA,Rio de Janeiro,RJ,"AV AIRTON SENNA, 2541",22775002,,-22.98514,-43.36661,https://www.abradif.com.br/
DIVEPE - NATAL,Parnamirim,RN,"ROD BR 101 LOTE 494, S/N",59150010,,-6.06652,-35.23755,https://www.abradif.com.br/
CANAA JI-PARANA,Ji-Parana,RO,"AV TRANSCONTINENTAL, 4016",76914650,,-10.87128,-61.95295,https://www.abradif.com.br/
MEGA PORTO VELHO,Porto Velho,RO,"ROD BR-364, 6930",78912190,,-8.77957,-63.86705,https://www.abradif.com.br/
SALOMAO,Boa Vista,RR,"AV VILLE ROY, 3495",69306595,,2.84078,-60.65458,https://www.abradif.com.br/
AMISA IJUI,Ijue,RS,"AV. DAVID JOSE MARTINS, 1240",98700000,,-28.39231,-53.89607,https://www.abradif.com.br/
SL VEICULOS LTDA,Novo Hamburgo,RS,"RUA IGNACIO TREIS, 355",93334365,,-29.71017,-51.14510,https://www.abradif.com.br/
GAMBATTO PASSO FUN,Passo Fundo,RS,"EST RST - 153, 3870",99034600,,-28.26763,-52.43865,https://www.abradif.com.br/
SUPER AUTOSHOW PEL,Pelotas,RS,"PRACA VINTE DE SETEMBRO, 392   406",96015360,,-31.76448,-52.34958,https://www.abradif.com.br/
SUPER AUTOSHOW TAR,Porto Alegre,RS,"AV SENADOR TARSO DUTRA, 359",90690140,,-30.04048,-51.17243,https://www.abradif.com.br/
SL VEICULOS,Santa Cruz do Sul,RS,"R CORONEL OSCAR RAFAEL JOST, 1769",96815713,,-29.70606,-52.43341,https://www.abradif.com.br/
SUPERAUTO - SANTA,Santa Maria,RS,"EST BR 158 ESQUINA PEDRO SANTINI, 1.500",97060090,,-29.51168,-53.60317,https://www.abradif.com.br/
SPERANDIO CHAPECO,Chapeco,SC,"R PLINIO ARLINDO DE NES, 898 D",89805290,,-27.05987,-52.63186,https://www.abradif.com.br/
FORAUTO VEICULOS,Criciuma,SC,"AVENIDA CENTENARIO, 6000",88815000,,-28.68116,-49.34500,https://www.abradif.com.br/
GLOBO JOINVILLE,Joinville,SC,"AV DR. JOAO COLIN, 1264",89204000,,-26.28823,-48.84681,https://www.abradif.com.br/
AUTOPLUS LAGES,Lages,SC,"AVENIDA DOM PEDRO II, 764",88509215,,-27.81507,-50.30845,https://www.abradif.com.br/
AUTOPLUS RIO DO SU,Rio do Sul,SC,"AV GOVERNADOR IVO SILVEIRA, 300",89163053,,-27.20282,-49.62914,https://www.abradif.com.br/
DIMAS - AUTOS - SA,Sao Jose,SC,"AV PRESIDENTE KENNEDY, 861",88101001,,-27.60034,-48.61286,https://www.abradif.com.br/
FOROESTE VEICULOS,Sao Miguel do Oeste,SC,"R WALDEMAR RANGRAB, 1640",89900000,,-26.74649,-53.51752,https://www.abradif.com.br/
CAMINHO ARACATUBA,Aracatuba,SP,"RUA ANHANGUERA, 3.227",16065390,,-21.23618,-50.43741,https://www.abradif.com.br/
DESTAQUE ATIBAIA,Atibaia,SP,"RUA ALFREDO ANDRE, 815   LETRA A",12940130,,-23.11826,-46.55567,https://www.abradif.com.br/
ANDRETA - ITU,Itu,SP,"AV DR. ERMELINDO MAFFEI, 965",13312000,,-23.26170,-47.28268,https://www.abradif.com.br/
ANDRETA JUNDIAI,Jundiae,SP,"AV. ANTONIO FREDERICO OZANAN, 3903",13215485,,-23.17991,-46.87763,https://www.abradif.com.br/
CAMINHO PIRACICABA,Piracicaba,SP,"AV DR. CASSIO PASCHOAL PADOVANI, 1520",13420360,,-22.73040,-47.61164,https://www.abradif.com.br/
ORTOVEL - RIBEIRAO,Ribeirao Preto,SP,"AV PRESIDENTE CASTELO BRANCO,, 1.900",14096560,,-21.20096,-47.76352,https://www.abradif.com.br/
CAOA SANTOS,Santos,SP,"RUA BRAS CUBAS, 353",11013163,,-23.94352,-46.32360,https://www.abradif.com.br/
MIX - SAO CAETANO,Sao Caetano do Sul,SP,"R ALAGOAS, 41",9521050,,-23.60984,-46.57770,https://www.abradif.com.br/
CAMINHO S J DO RIO,Sao Jose do Rio Preto,SP,"AV JOSE MUNIA, 5303",15085350,,-20.82941,-49.38855,https://www.abradif.com.br/
ECONORTE VEICULOS,Sao Jose dos Campos,SP,"AV GOVERNADOR MARIO COVAS JUNIOR, 2091",12131168,,-24.08682,-46.60539,https://www.abradif.com.br/
PAULINVEL - IBIRAP,Sao Paulo,SP,"AV IBIRAPUERA, 2.400",4028900,,-23.60419,-46.66342,https://www.abradif.com.br/
SONNERVIG NORTE -,Sao Paulo,SP,"R DOS MACHADOS, 150",2052010,,-23.51770,-46.60819,https://www.abradif.com.br/
STUDIO SUMARE,Sao Paulo,SP,"AV SUMARE, 255",5016090,,-23.53058,-46.67459,https://www.abradif.com.br/
DISBRAVA ARAGUAINA,Araguaena,TO,"AV SANTOS DUMONT, 985",77818010,,-7.18943,-48.22363,https://www.abradif.com.br/
DISTRIBUIDORA  PAL,Palmas,TO,"AV QDR 202 S CJ.02 LOTE 02 AV. LO 0, LOTE",77102070,,-10.20954,-48.34364,https://www.abradif.com.br/
