campaign_code,announce_date,model,years_affected,defect_brief,universe_count,adhesion_rate,status,source_url
N/D,2026-03-26,"Bronco Sport / Maverick Black / Maverick Tremor",2025,"Defeito na valvula EGR (recirculacao de gases do escape) - perda de potencia em ate 20 km/h, vibracao, dificuldade de partida",N/D,N/D,Aberto (agendamento previsto Q4 2026),https://garagemse.com.br/ford-recall-bronco-sport-maverick-2025-valvula-egr/
N/D,2025-12-22,Bronco Sport,2025,"Falha de calibracao no modulo do painel digital de instrumentos - tela pode nao ligar / nao mostrar velocidade",N/D,N/D,Aberto,https://www.mixvale.com.br/2025/12/22/ford-convoca-recall-do-bronco-sport-2025-por-falha-no-painel-digital-de-instrumentos/
N/D,2025-11-05,E-Transit,"2022;2024;2025;2026","Falha na calibracao do modulo motor/transmissao - superaquecimento da bateria 12V, gases na cabine",N/D,N/D,"Aberto (agendamento Q1 2026)",https://www.gruposentinela.com.br/recall-ford-e-transit-modelos-2022-2024-2025-e-2026/
N/D,2025-09-30,Mustang,"2024;2025","Infiltracao de agua no BCM (Body Control Module) - falha de lampadas externas, descarga de bateria",N/D,N/D,Aberto (servico iniciado 2025-10-06),https://www.ford.com.br/servico-ao-cliente/recall/2025/ford-mustang-modelo-2024-2025/
25C41 (codigo Ford global / NHTSA 25V541),2025-09-08,Ranger / Ranger Raptor,"2024;2025;2026","Airbag de cortina lateral rasga ao acionar (contato com flange do pilar B) - perde pressao, protecao reduzida",100900 (global - Brasil nao desagregado),N/D,Aberto (remedio definitivo dezembro/2025),https://www.gruposentinela.com.br/recall-ford-e-transit-modelos-2022-2024-2025-e-2026/
N/D,2025-05-20,Ranger / Ranger Raptor,"2024;2025","Falha no sistema antiesmagamento dos vidros das portas dianteiras",N/D,N/D,Aberto,https://www.mixvale.com.br/2025/05/20/ford-convoca-recall-de-ranger-2024-e-2025-por-falha-no-sistema-antiesmagamento/amp/
N/D,2025-XX,"EcoSport;Edge;Fusion;Mustang;Ranger;Bronco Sport","EcoSport 2020-2021; Edge 2019-2020; Fusion 2019; Mustang 2020-2023; Ranger 2020-2021; Bronco Sport 2021-2024","Camera de re mostra tela preta / congelada - update de software 40 min",N/D,N/D,Aberto,https://motorshow.com.br/recall-ford-chama-unidades-de-ecosport-edge-fusion-mustang-ranger-e-bronco
N/D,2024-07-30,Mustang,"2021;2023","Defeito de calibracao no modulo da caixa de direcao eletrica - resistencia / movimento inesperado",4 (numero exato),N/D,Aberto (servico desde 2024-11-29),https://www.conexaoautomotivabr.com/2026/02/ford-convoca-recall-que-envolve-o.html
N/D,2021-02-25,Territory,2021,"Conversor catalitico - oscilacoes no tratamento de gases, emissoes acima do limite",~4160 chassis MTP00009-MTP04168,N/D,Fechado (provavel),https://www.procon.sp.gov.br/ford-comunica-recall-de-modelos-territory-2021/
N/D,2021-XX,EcoSport,"2018;2019","Motor 1.5L - falha (campanha de seguranca)",N/D,N/D,Fechado (provavel),https://www.ford.com.br/recall-airbag-takata/
N/D,2017-07-20,Troller T4,"2015;2016","Interferencia entre linha de freio dianteira (lado direito) e fixador da mangueira do intercooler - vazamento de fluido de freio",N/D (chassis 2015: FH400017-FH402280; 2016: GH400001-GH401387),N/D,Fechado (provavel),https://www.procon.sp.gov.br/recall-ford-2/
N/D,~2017-2019,"Fusion;Edge","Fusion 2006-2012; Edge 2009-2010","Recall mundial Takata - inflador de airbag do lado motorista pode romper, lancar fragmentos metalicos",N/D Brasil,N/D,Aberto (parcial - reposicao continua),https://www.ford.com.br/recall-airbag-takata/
