banda,n,pct_total,churn_real_pct,score_medio,score_mediano,n_servicos_medio,tenure_medio_dias,km_medio,dealer_share_medio,single_event_pct,top_modelo_1,top_modelo_2,top_cluster
B01 [0.0-0.1),41616,23.71,16.53,0.0168,0.0049,5.82,1192.5,57628.0,0.87,16.7,RANGER,KA,fiel
B02 [0.1-0.2),23120,13.17,40.29,0.1143,0.1023,4.58,780.0,42621.0,0.89,25.3,RANGER,KA,fiel
B03 [0.2-0.3),19611,11.17,24.72,0.2427,0.2146,2.61,610.3,34499.0,0.922,32.6,RANGER,TERRITORY,fiel
B04 [0.3-0.4),4,0.0,25.0,0.3322,0.3291,4.5,753.8,80245.0,0.792,0.0,MAVERICK,RANGER,fiel
B05 [0.4-0.5),476,0.27,38.24,0.4255,0.4074,2.83,693.2,38668.0,0.766,17.4,RANGER,KA,esquecido
B06 [0.5-0.6),5948,3.39,19.69,0.5385,0.5385,1.84,456.2,25864.0,0.957,64.7,RANGER,KA,economico
B07 [0.6-0.7),2335,1.33,29.34,0.645,0.6207,2.15,501.0,27273.0,0.949,53.2,RANGER,TERRITORY,economico
B08 [0.7-0.8),3507,2.0,43.71,0.7385,0.7241,3.11,646.5,41238.0,0.86,12.5,RANGER,KA,fiel
B09 [0.8-0.9),8460,4.82,49.09,0.8636,0.8613,2.68,629.4,33493.0,0.907,27.4,RANGER,KA,fiel
B10 [0.9-1.0),70475,40.14,81.18,0.9918,1.0,2.16,596.3,22806.0,0.896,33.1,KA,RANGER,fiel
