# Análise da banda B05 [0.4-0.5)
# n_VINs = 476  |  churn_real = 38.24%  |  score_medio = 0.4255

# === Composição por MODELO de carro ===
modelo,n,pct_da_banda,churn_real_pct
RANGER,238,50.0,19.33
KA,76,15.97,100.0
BRONCO SPORT,43,9.03,13.95
MAVERICK,40,8.4,12.5
TERRITORY,32,6.72,37.5
ECOSPORT,30,6.3,100.0
TRANSIT,11,2.31,36.36
F-150,4,0.84,25.0
MUSTANG,1,0.21,100.0
FIESTA,1,0.21,100.0

# === Composição por CLUSTER K-means ===
cluster,n,pct_da_banda,churn_real_pct
esquecido,232,48.74,30.6
fiel,161,33.82,54.04
economico,60,12.61,1.67
abandono,23,4.83,100.0

# === Médias de features ===
feature,valor
n_servicos_medio,2.83
tenure_medio_dias,693.2
dias_sem_servico_medio,447.9
km_medio,38668.0
dealer_share_medio,0.766
single_event_pct,17.44
